radius,Hnuc [erg/g/s],h [erg/g],tfromp,p0,rho,X(h1),X(he4),X(o16),X(o20),X(f20),X(ne20),X(mg24),X(al27),X(si28),X(p31),X(s32)
24609375.0,33902123761.997314,3.01919215448637e+18,326250602.5025824,3.831547319076868e+27,4727968225.22369,9.997082751907408e-11,9.819635729000553e-11,0.5999999994595234,1.0000000616540462e-10,9.999999365448851e-11,0.39999999963212224,1.1017506085465457e-10,9.952838782911327e-11,1.0052045020111298e-10,9.963713632861168e-11,1.003222698059178e-10
26953125.0,17594405754.71118,2.922792990846719e+18,320421459.80038923,3.395412332125467e+27,4319167392.668343,9.997938820572077e-11,9.909804629601911e-11,0.5999999994597692,1.0000000219496733e-10,9.999999762484436e-11,0.3999999996360288,1.0511265820306734e-10,9.965842837556912e-11,1.0037521847102083e-10,9.975321180205843e-11,1.0022009124991224e-10
29296875.0,8663439514.929968,2.8227119555591726e+18,314316047.935332,2.982803940908256e+27,3920195717.26002,9.99858162882566e-11,9.957754102491568e-11,0.5999999994598967,1.0000000041898644e-10,9.999999940070945e-11,0.39999999963812416,1.0240868930973558e-10,9.975868883006158e-11,1.0026384203939093e-10,9.983736850551358e-11,1.0014566134794173e-10
31640625.0,4276464828.2122874,2.7255104765250396e+18,308329828.99742705,2.6190296787700234e+27,3556848641.7694845,9.999026249376429e-11,9.980516692037204e-11,0.5999999994599539,9.999999995285213e-11,9.999999986659443e-11,0.39999999963912664,1.0111854139850892e-10,9.982997243218274e-11,1.0018507742608097e-10,9.989335674048405e-11,1.0009591083826548e-10
33984375.0,2050056091.4826667,2.6245712102706924e+18,302054339.75485694,2.2777713291513666e+27,3204183694.544362,9.999349407711714e-11,9.991565458690417e-11,0.5999999994599812,9.999999991034758e-11,9.999999986903942e-11,0.399999999639616,1.0048858562753528e-10,9.988327883393448e-11,1.0012648821122548e-10,9.9932332177971e-11,1.0006111514547285e-10
36328125.0,978407665.3637799,2.523166075466731e+18,295690120.4850051,1.9691915763758872e+27,2873832332.6593714,9.999573460817901e-11,9.996545963802454e-11,0.5999999994599928,9.999999991000009e-11,9.999999919678951e-11,0.399999999639838,1.0020254669115218e-10,9.992132876113007e-11,1.0008488386987594e-10,9.99581016874335e-11,1.0003800227616546e-10
38671875.0,480868681.17100954,2.4227284632962504e+18,289327878.7871931,1.6957178615446304e+27,2569934105.9477596,9.999723274486348e-11,9.998630257862346e-11,0.5999999994599973,9.999999991000001e-11,9.999999637892759e-11,0.3999999996399347,1.0008169049388549e-10,9.994755033222609e-11,1.0005635977966172e-10,9.997443767635961e-11,1.0002328170777296e-10
41015625.0,238597783.36780065,2.319600691759795e+18,282735832.5480556,1.4454434206316475e+27,2280865042.1751533,9.999825721725599e-11,9.999499714567739e-11,0.5999999994599989,9.999999991000001e-11,9.999998982324609e-11,0.3999999996399751,1.0003062191658977e-10,9.996603202361353e-11,1.0003635368941515e-10,9.998497660079449e-11,1.0001374134546434e-10
43359375.0,123269829.59933947,2.217303456392307e+18,276139698.41280454,1.2255109044599281e+27,2016289475.324034,9.999891899053684e-11,9.999827351980466e-11,0.5999999994599998,9.999999991000001e-11,9.999997855021581e-11,0.3999999996399914,1.0001100802871754e-10,9.997834466068084e-11,1.0002308893458934e-10,9.999135484105852e-11,1.0000794077517732e-10
45703125.0,68503591.43260191,2.1186118542501553e+18,269725022.4859229,1.0379049489551441e+27,1781063585.454217,9.999933159190443e-11,9.999942908583895e-11,0.59999999946,9.999999991e-11,9.999996251446495e-11,0.39999999963999694,1.0000388864748276e-10,9.998625623135711e-11,1.0001460330677283e-10,9.999506182822307e-11,1.0000455440299902e-10
48046875.0,38509478.81742526,2.0213724404869814e+18,263357796.49978378,8.749794027797386e+26,1567918536.1872427,9.999959150877066e-11,9.999982515685313e-11,0.59999999946,9.999999991000001e-11,9.999994138283593e-11,0.399999999639999,1.0000133427450132e-10,9.999138852667177e-11,1.0000912121332052e-10,9.999722661570044e-11,1.000025681785939e-10
50390625.0,22252726.352650806,1.9254970202218924e+18,257038145.32148948,7.337512233689837e+26,1374968054.9431453,9.999975394995383e-11,9.999995341195203e-11,0.59999999946,9.999999991000001e-11,9.999991531221115e-11,0.3999999996399997,1.000004414615182e-10,9.999468786976324e-11,1.0000561025905987e-10,9.999847415772575e-11,1.0000141864184805e-10
52734375.0,13381583.249356596,1.834344078742791e+18,250995453.30431566,6.159446198676928e+26,1206755858.5541909,9.999985112619236e-11,9.999999017646311e-11,0.5999999994600002,9.999999991000005e-11,9.999988580767043e-11,0.39999999963999977,1.0000014806237707e-10,9.999671544772226e-11,1.0000346002870612e-10,9.999915866123798e-11,1.0000078526073009e-10
55078125.0,9256212.44990071,1.7452307842423004e+18,245061283.94014406,5.1506971487556186e+26,1056130002.3260801,9.999991063444478e-11,9.999999963519764e-11,0.5999999994600002,9.999999991000003e-11,9.999985276088018e-11,0.39999999964000005,1.0000004971876457e-10,9.99979887362889e-11,1.0000211385473507e-10,9.999954149316156e-11,1.0000042956723683e-10
57421875.0,3403257.222839824,1.656973527765443e+18,239161515.58495918,4.2777181812775134e+26,919697878.4587772,9.999994730932714e-11,1.0000000130967106e-10,0.5999999994599999,9.999999991000001e-11,9.99998163538637e-11,0.39999999964000027,1.000000164903788e-10,9.999879209312137e-11,1.0000126683845176e-10,9.999975604185586e-11,1.0000022941952248e-10
59765625.0,2648120.7254993143,1.5720640723218327e+18,233474547.60337168,3.546886081983867e+26,799976066.9194984,9.999996896119614e-11,1.0000000108203191e-10,0.59999999946,9.999999991000003e-11,9.99997782820164e-11,0.3999999996400002,1.000000057309559e-10,9.999927696778815e-11,1.0000075687938425e-10,9.999987054184357e-11,1.0000012216462917e-10
