,radius,density,temperature,pressure,ne20,o16,o20,mg24,f29,he4,al27,si28,s32,p31,h1,enuc
20,320312.5,8347540296.649199,657157213.4845194,7.366390414298859e+27,0.007381170591625616,0.5999946650399951,0.3926205999899178,5.151826724490151e-16,2.042721084343544e-09,9.098100136689067e-23,1e-30,3.562335739792039e-06,1e-30,1e-30,1e-30,-16385732.265660534
21,335937.5,8347437147.939531,657215592.5276589,7.366290532443469e+27,0.007389819827018734,0.5999946582625945,0.3926119531858832,5.17129553146525e-16,2.044939105187309e-09,9.115979839730585e-23,1e-30,3.566679564051237e-06,1e-30,1e-30,1e-30,-16402350.518016199
22,351562.5,8347329171.367826,657276484.0786101,7.366185896423564e+27,0.007398842358126094,0.599994651180964,0.3926029331955642,5.191672431120751e-16,2.047252419651261e-09,9.134665436691471e-23,1e-30,3.571218092943392e-06,1e-30,1e-30,1e-30,-16419666.043366626
23,367187.5,8347217303.338243,657336836.0773011,7.366076506528412e+27,0.00740779801866917,0.5999946441516101,0.3925939800570501,5.211949014071507e-16,2.049548389619608e-09,9.153222500914048e-23,9.999999999999999e-31,3.575723121580589e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16436685.307990903
24,382812.5,8347100482.392175,657400044.268475,7.365962363057719e+27,0.007417187798476261,0.5999946367777487,0.3925845929229779,5.233268702975438e-16,2.051955368627291e-09,9.17269750289173e-23,1e-30,3.58044884120348e-06,1e-30,1e-30,1e-30,-16454536.986675043
25,398437.5,8346977615.397207,657469598.5995072,7.365843466339641e+27,0.007427527876388284,0.5999946286493796,0.3925742557617471,5.256821089458207e-16,2.05460553984147e-09,9.194173000880424e-23,1e-30,3.585657879193445e-06,1e-30,1e-30,1e-30,-16474383.175603239
26,414062.5,8346849819.252155,657541933.9691309,7.365719816717969e+27,0.007438291200402856,0.5999946201794021,0.3925634954772256,5.281424306574533e-16,2.057363734432733e-09,9.216560219621395e-23,1e-30,3.591085605143783e-06,1e-30,1e-30,1e-30,-16495034.6064471
27,429687.5,8346717111.873672,657616964.9183675,7.365591414543004e+27,0.007449470261090283,0.5999946113772533,0.3925523195753651,5.30706168589451e-16,2.060228083402978e-09,9.239837040563663e-23,9.999999999999999e-31,3.596726062486539e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16516473.079556486
28,445312.5,8346580197.388241,657692460.8518468,7.365458260171903e+27,0.007460732367570674,0.5999946025028596,0.3925410606538092,5.332980000699732e-16,2.063113281362856e-09,9.263316074945925e-23,1e-30,3.602412646823163e-06,1e-30,1e-30,1e-30,-16537948.229861682
29,460937.5,8346438786.539223,657769348.6799113,7.365320353970161e+27,0.007472214147313067,0.599994593446371,0.3925295821245825,5.359500496835237e-16,2.066054270716401e-09,9.287287626351939e-23,1e-30,3.608215678756241e-06,1e-30,1e-30,1e-30,-16559766.902760904
30,476562.5,8346292565.014094,657848625.4041712,7.365177696321463e+27,0.007484064346169211,0.5999945840889231,0.392517735284544,5.386975317716675e-16,2.069089104231979e-09,9.312066721592131e-23,1e-30,3.614211274036529e-06,1e-30,1e-30,1e-30,-16582262.908418326
31,492187.5,8346140525.08276,657933431.4055653,7.365030287632178e+27,0.007496761018474347,0.5999945740578062,0.3925050422130361,5.416520528179761e-16,2.072340265822473e-09,9.338645789321245e-23,1e-30,3.62063834270716e-06,1e-30,1e-30,1e-30,-16606510.36071391
32,507812.5,8345983094.209532,658022485.4309207,7.364878128331183e+27,0.007510100330659185,0.599994563498348,0.392491706691869,5.447703613088674e-16,2.07575518071729e-09,9.366634826304929e-23,9.999999999999999e-31,3.627403367857705e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16632049.142464317
33,523437.5,8345820719.267781,658114251.834266,7.364721218852914e+27,0.007523874500865595,0.5999945525933784,0.3924779364367997,5.480022869291755e-16,2.079281010115984e-09,9.395560968402512e-23,1e-30,3.63438967475643e-06,1e-30,1e-30,1e-30,-16658409.440552877
34,539062.5,8345653418.816317,658208762.8332654,7.364559559642474e+27,0.007538072511079848,0.5999945413329928,0.3924637424698875,5.513496133997665e-16,2.082914510810428e-09,9.425443530820093e-23,1e-30,3.641603124788326e-06,1e-30,1e-30,1e-30,-16685565.47544636
35,554687.5,8345481165.960517,658306064.2969787,7.364393151158123e+27,0.007552708383853825,0.5999945297089426,0.3924491107714081,5.548164631347496e-16,2.086659318204692e-09,9.45630676630808e-23,1e-30,3.64904913565086e-06,1e-30,1e-30,1e-30,-16713546.962860817
36,570312.5,8345306950.413065,658396576.40529,7.364221993841602e+27,0.00756637164079245,0.5999945188711238,0.3924354514057861,5.580625431499121e-16,2.090155247482669e-09,9.485105199470479e-23,1e-30,3.655992141929004e-06,1e-30,1e-30,1e-30,-16739181.772305874
37,585937.5,8345124675.471275,658499555.4345838,7.364046088172916e+27,0.007581946836816543,0.599994506512209,0.3924198806474347,5.617776708985897e-16,2.094139824513167e-09,9.517969792049638e-23,1e-30,3.663909399351584e-06,1e-30,1e-30,1e-30,-16768951.53289394
38,601562.5,8344939896.507964,658597765.7015593,7.363865434656399e+27,0.00759679751692088,0.5999944946887448,0.3924050342137848,5.653413273666059e-16,2.097937721241136e-09,9.549417585174402e-23,1e-30,3.671482611251864e-06,1e-30,1e-30,1e-30,-16796931.74315164
39,617187.5,8344748141.481049,658705016.630004,7.36368003379493e+27,0.007613048316623346,0.5999944817424581,0.3923887880640064,5.692589861970956e-16,2.102092942329733e-09,9.583878229772325e-23,1e-30,3.679774818723787e-06,1e-30,1e-30,1e-30,-16827891.568739038
40,632812.5,8344545479.315772,658833569.3904673,7.363489886204415e+27,0.007632563860426199,0.5999944661797509,0.3923692781102019,5.739875550913107e-16,2.107081884250757e-09,9.62533373849182e-23,1e-30,3.689742538517109e-06,1e-30,1e-30,1e-30,-16866012.36031955
41,648437.5,8344348792.350903,658930585.1043451,7.363294992377864e+27,0.007647343309722064,0.5999944544006153,0.3923545028915153,5.775848536079426e-16,2.110859629047308e-09,9.656743162873154e-23,1e-30,3.697287287324045e-06,1e-30,1e-30,1e-30,-16893334.28676179
42,664062.5,8344141740.634481,659047437.9354471,7.363095352794677e+27,0.007665124641312852,0.599994440166896,0.3923367266737984,5.819414462603329e-16,2.115402707458989e-09,9.694701182411378e-23,1e-30,3.706402589598121e-06,1e-30,1e-30,1e-30,-16927224.205650777
43,679687.5,8343929701.561003,659166993.6166105,7.362890968085072e+27,0.00768336791475401,0.599994425562415,0.3923184886473733,5.864325875127397e-16,2.120063034819401e-09,9.733685453685292e-23,1e-30,3.715755394096032e-06,1e-30,1e-30,1e-30,-16961977.58201633
44,695312.5,8343712665.80764,659289291.6227083,7.362681838831244e+27,0.007702077573884392,0.5999944105770679,0.392299784372132,5.910623958418932e-16,2.124841556163963e-09,9.773721783981281e-23,1e-30,3.725352073686393e-06,1e-30,1e-30,1e-30,-16997602.254726734
